date,count,moving_avg,day_of_year,year
2008-06-02,138309,59523.78571428572,154,2008
2008-06-10,148665,93670.78571428571,162,2008
2008-06-11,189909,104281.57142857143,163,2008
2008-06-27,169100,60846.57142857143,179,2008
2008-07-02,164737,81461.5,184,2008
2008-07-03,148482,91931.14285714286,185,2008
2008-07-11,136332,78275.64285714286,193,2008
2008-07-13,159189,92451.85714285714,195,2008
2008-08-01,147234,76117.71428571429,214,2008
2008-08-08,137698,88644.85714285714,221,2008
2008-08-15,304439,74565.57142857143,228,2008
2008-09-12,181984,53364.57142857143,256,2008
2008-09-14,225834,70232.78571428571,258,2008
2009-05-25,152097,67604.35714285714,145,2009
2009-05-26,170683,76639.5,146,2009
2009-06-20,147590,43807.357142857145,171,2009
2009-06-21,145600,51830.57142857143,172,2009
2009-06-25,193349,67311.57142857143,176,2009
2009-06-26,185495,79796.07142857143,177,2009
2009-06-29,149970,100087.5,180,2009
2009-06-30,226660,114645.92857142857,181,2009
2009-07-01,260497,131944.42857142858,182,2009
2009-07-02,277513,148248.85714285713,183,2009
2009-07-03,216778,160806.07142857142,184,2009
2009-07-04,183045,163338.57142857142,185,2009
2009-07-05,162285,164530.35714285713,186,2009
2009-07-06,149622,170436.2142857143,187,2009
2009-07-07,220283,178526.14285714287,188,2009
2009-07-08,139780,182145.57142857142,189,2009
2009-07-17,146608,107318.92857142857,198,2009
2009-07-18,228346,110554.71428571429,199,2009
2009-08-03,197885,56798.0,215,2009
2009-08-04,149926,63177.5,216,2009
2009-09-14,233315,60855.28571428572,257,2009
2009-09-15,158669,68198.5,258,2009
2009-09-16,156923,77686.64285714286,259,2009
2009-10-01,198396,87882.57142857143,274,2009
2010-06-11,142683,57812.0,162,2010
2010-06-14,178793,69589.0,165,2010
2010-06-16,143469,82669.14285714286,167,2010
2010-06-18,188097,94175.0,169,2010
2010-06-19,166584,103016.28571428571,170,2010
2010-07-02,148524,66689.5,183,2010
2010-07-03,173924,67213.78571428571,184,2010
2010-07-12,236114,94503.85714285714,193,2010
2010-07-17,311574,101503.64285714286,198,2010
2010-07-18,249170,111155.0,199,2010
2010-07-22,179843,124305.64285714286,203,2010
2010-07-23,166433,135184.57142857142,204,2010
2010-07-24,276835,147580.2142857143,205,2010
2010-08-03,138454,107966.42857142857,215,2010
2010-08-06,302422,110636.28571428571,218,2010
2010-08-13,279251,108946.42857142857,225,2010
2010-08-14,181314,117448.28571428571,226,2010
2010-08-15,286713,131166.92857142858,227,2010
2010-08-16,146605,136419.35714285713,228,2010
2011-05-20,147538,39333.0,140,2011
2011-05-21,138039,47048.857142857145,141,2011
2011-05-22,139535,56589.857142857145,142,2011
2011-06-01,154137,105126.71428571429,152,2011
2011-06-04,179035,105105.92857142857,155,2011
2011-06-05,212345,110306.64285714286,156,2011
2011-06-06,229623,117430.14285714286,157,2011
2011-06-07,169563,123636.85714285714,158,2011
2011-06-08,247546,134852.57142857142,159,2011
2011-06-22,142054,51797.142857142855,173,2011
2011-07-10,176904,72288.0,191,2011
2011-07-11,161288,80314.5,192,2011
2011-07-19,173447,98047.35714285714,200,2011
2011-07-20,277282,116833.42857142857,201,2011
2011-08-24,270345,71965.42857142857,236,2011
2011-08-26,194545,90110.42857142857,238,2011
2011-09-19,203516,51060.92857142857,262,2011
2011-09-20,155851,58585.21428571428,263,2011
2012-06-18,136593,42840.57142857143,170,2012
2012-06-29,155415,71012.85714285714,181,2012
2012-07-01,203145,92171.92857142857,183,2012
2012-07-03,210635,100798.35714285714,185,2012
2012-07-05,192200,103464.0,187,2012
